EVENTGROUPINGATTRIBUTETYPE,NAME,DEFAULTVALUE,EVENTGROUPINGATTRIBUTETYPEINDEX,SPECIFICATIONLEVEL,ATTRIBUTEDATATYPE,EVENTGROUPINGTYPE
1,Name,,0,SPECIFIED,STRING,1
2,Location,,1,SPECIFIED,STRING,1
3,Location,,0,INHERITED,STRING,2
4,Start Date,,1,SPECIFIED,DATE,2
5,Location,,0,INHERITED,STRING,3
6,Start Date,,1,INHERITED,DATE,3
7,Start Time,,2,SPECIFIED,TIME,3
8,Location,,0,SPECIFIED,STRING,4
9,Start Date,,1,SPECIFIED,DATE,4
10,Location,,0,INHERITED,STRING,5
11,Start Date,,1,INHERITED,DATE,5
12,Start Time,,2,SPECIFIED,TIME,5
13,Start Date,,0,SPECIFIED,DATE,6
14,Name,,0,SPECIFIED,STRING,7
15,Start Date,,1,INHERITED,DATE,7
16,Start Time,,2,SPECIFIED,TIME,7
